Date,Category,Description,Amount
2025-01-02,Rent,Rent payment,1650
2025-01-03,Groceries,Sobeys,132.88
2025-01-04,Transit,Monthly pass,112
2025-01-07,Streaming,Netflix,18.99
2025-01-08,Dining,Campus coffee,12.45
2025-01-12,Shopping,Amazon supplies,74.25
2025-01-15,Phone,Mobile bill,78.11
2025-01-19,Groceries,Costco,208.67
2025-01-22,Dining,Takeout dinner,31.24
2025-01-27,Entertainment,Concert tickets,95
2025-02-02,Rent,Rent payment,1650
2025-02-04,Groceries,Superstore,121.72
2025-02-07,Streaming,Spotify,11.99
2025-02-09,Dining,Campus lunch,14.5
2025-02-10,Utilities,Electricity bill,66.14
2025-02-14,Travel,Weekend hotel,242
2025-02-16,Phone,Mobile bill,78.11
2025-02-21,Groceries,Walmart,118.31
2025-02-23,Shopping,Clothing sale,84.2
2025-02-28,Subscription,Adobe Student Plan,22.59
2025-03-02,Rent,Rent payment,1650
2025-03-03,Groceries,Safeway,127.91
2025-03-05,Gas,Fuel,74.04
2025-03-07,Streaming,Netflix,18.99
2025-03-09,Dining,Restaurant dinner,48.2
2025-03-12,Shopping,Home decor,63.55
2025-03-15,Phone,Mobile bill,78.11
2025-03-18,Groceries,Costco,201.33
2025-03-22,Entertainment,Games,59.99
2025-03-29,Subscription,Adobe Student Plan,22.59
